no,nim,kdjur,nmjur,nem,sks,status,ipk,kdsla,nmsla
416,1.47E+13,501,ILMU KEPERAWATAN,45.3,13,0,3.44,31840006,"SMAK Penabur Gading Serpong, Tangerang"
417,1.47E+13,501,ILMU KEPERAWATAN,45.32,13,0,2.95,33320030,D3 KEPERAWATAN
418,2.09E+12,71,PENDIDIKAN DOKTER,45.6,13,0,3.59,31853006,"SMA Karang Turi, Semarang"
419,2.09E+12,71,PENDIDIKAN DOKTER,45.7,13,0,3.33,33320066,"UPH College, Karawaci"
420,2.09E+12,71,PENDIDIKAN DOKTER,45.9,13,0,3.36,21420001,"SMAK Kanaan, Banjarmasin"
421,3.28E+11,11,MANAJEMEN,46,13,0,0.51,33320066,"UPH College, Karawaci"
422,1.50E+12,51,ILMU HUKUM,46.25,13,0,3.65,31714244,"SMA Pangudi Luhur, Kebayoran Baru"
423,1.47E+13,501,ILMU KEPERAWATAN,46.3,13,0,2.97,33320006,"SMA Perguruan Buddhi, Tangerang"
424,2.09E+12,71,PENDIDIKAN DOKTER,46.3,13,0,3.41,33320065,"SMA BPK Penabur, Bintaro Jaya"
425,2.09E+12,71,PENDIDIKAN DOKTER,46.4,13,0,3.43,31753886,"SMA Gandhi School, Pangandaran Ancol"
426,2.09E+12,71,PENDIDIKAN DOKTER,46.5,13,0,3.43,520020,"IPEKA Internasional, Christian School"
427,1.47E+13,501,ILMU KEPERAWATAN,46.55,13,0,3.06,1520001,"SMA St. Maria 3, Kotip Cimahi"
428,2.09E+12,71,PENDIDIKAN DOKTER,46.6,13,0,3.38,31840006,"SMAK Penabur Gading Serpong, Tangerang"
429,1.50E+12,51,ILMU HUKUM,46.7,13,0,3.79,31843003,"SMAK 3 BPK Penabur, Bandung"
430,1.50E+12,51,ILMU HUKUM,46.85,13,0,3.75,31871003,"SMAN 2, Bali"
431,2.09E+12,71,PENDIDIKAN DOKTER,47.1,13,0,3.25,620030,"SMAK 6 BPK Penabur, Jakarta Utara"
432,2.09E+12,71,PENDIDIKAN DOKTER,47.2,13,0,3.22,31840008,"SMA Dian Harapan, Tangerang"
433,2.09E+12,71,PENDIDIKAN DOKTER,47.25,13,0,3.42,31851007,"SMA Stella Duce 1, Yogyakarta"
434,1.47E+13,501,ILMU KEPERAWATAN,47.35,13,0,3.18,31840009,"SMAN 1, Tangerang"
435,1.50E+12,51,ILMU HUKUM,47.45,13,0,3.87,31743857,"SMA Katolik Abdi Siswa, Duri Kepa"
436,1.47E+13,501,ILMU KEPERAWATAN,47.9,13,0,3.23,30810003,"SMAN 1, Jayapura"
437,2.09E+12,71,PENDIDIKAN DOKTER,47.9,13,0,3.45,31840006,"SMAK Penabur Gading Serpong, Tangerang"
438,1.47E+13,501,ILMU KEPERAWATAN,47.9,13,0,3.28,33310008,"SMAN 8, Perumnas, Tangerang"
439,2.09E+12,71,PENDIDIKAN DOKTER,47.9,13,0,3.43,33320066,"UPH College, Karawaci"
440,2.09E+12,71,PENDIDIKAN DOKTER,47.95,13,0,3.09,4210001,"SMAN 1, Purwokerto"
441,2.09E+12,71,PENDIDIKAN DOKTER,48,13,0,3.42,31415002,"SMA Xaverius, Jambi"
442,2.09E+12,71,PENDIDIKAN DOKTER,48,13,0,3.32,31840005,"SMA St. Laurensia , Tangerang"
443,1.47E+13,501,ILMU KEPERAWATAN,48,13,0,3.52,520012,"SMA Dian Kasih, Jakarta Barat"
444,2.09E+12,71,PENDIDIKAN DOKTER,48.1,13,0,3.48,31862001,"SMA Kolose St. Yusuf, Malang"
445,2.09E+12,71,PENDIDIKAN DOKTER,48.2,13,0,3.39,31840006,"SMAK Penabur Gading Serpong, Tangerang"
446,2.09E+12,71,PENDIDIKAN DOKTER,48.3,13,0,3.55,31734384,"SMA St. Ursula 1, Pasar Baru"
447,1.47E+13,501,ILMU KEPERAWATAN,48.35,13,0,3.16,31840009,"SMAN 1, Tangerang"
448,1.47E+13,501,ILMU KEPERAWATAN,48.4,13,0,3.38,31840009,"SMAN 1, Tangerang"
449,2.09E+12,71,PENDIDIKAN DOKTER,48.6,13,0,3.52,31844001,"SMA St. Maria 1, Cirebon"
450,2.09E+12,71,PENDIDIKAN DOKTER,48.7,13,0,3.61,31840006,"SMAK Penabur Gading Serpong, Tangerang"
451,2.09E+12,71,PENDIDIKAN DOKTER,48.75,13,0,3.22,31743819,"SMA Ipeka Puri, Kembangan Selatan"
452,1.47E+13,501,ILMU KEPERAWATAN,48.9,13,0,3.13,33320006,"SMA Perguruan Buddhi, Tangerang"
453,2.09E+12,71,PENDIDIKAN DOKTER,49.2,13,0,3.38,31872003,"SMA St. Petrus, Pontianak"
454,2.09E+12,71,PENDIDIKAN DOKTER,49.3,13,0,3.51,31743819,"SMA Ipeka Puri, Kembangan Selatan"
455,2.09E+12,71,PENDIDIKAN DOKTER,49.35,13,0,3.18,31840008,"SMA Dian Harapan, Tangerang"
456,1.47E+13,501,ILMU KEPERAWATAN,49.35,13,0,3.25,31840009,"SMAN 1, Tangerang"
457,2.09E+12,71,PENDIDIKAN DOKTER,49.45,13,0,3.41,31861004,"SMA St. Louis 1, Surabaya"
458,2.09E+12,71,PENDIDIKAN DOKTER,49.6,13,0,3.46,31743819,"SMA Ipeka Puri, Kembangan Selatan"
459,2.09E+12,71,PENDIDIKAN DOKTER,49.65,13,0,3.5,31413004,"SMA Kalam Kudus, Riau"
461,2.09E+12,71,PENDIDIKAN DOKTER,50.05,13,0,3.41,31734191,"SMA Kanisius, Menteng"
462,3.28E+11,11,MANAJEMEN,50.1,13,0,3.84,33320066,"UPH College, Karawaci"
463,2.09E+12,71,PENDIDIKAN DOKTER,50.3,13,0,3.44,29420001,"SMA Katolik Giovanni, Kupang"
464,2.09E+12,71,PENDIDIKAN DOKTER,50.3,13,0,3.43,31415002,"SMA Xaverius, Jambi"
465,2.09E+12,71,PENDIDIKAN DOKTER,50.4,13,0,3.39,31744233,"SMAK 1 BPK Penabur, Tanjung Duren"
466,1.47E+13,501,ILMU KEPERAWATAN,50.4,13,0,3.08,31843007,"SMA St. Angela, Bandung"
467,2.09E+12,71,PENDIDIKAN DOKTER,50.4,13,0,3.54,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
468,2.09E+12,71,PENDIDIKAN DOKTER,50.4,13,0,3.5,620029,"SMA Mahatma Gading, Jak-Ut"
469,2.09E+12,71,PENDIDIKAN DOKTER,50.8,13,0,2.99,31418001,"SMA Xaverius, Tanjung Karang"
470,2.09E+12,71,PENDIDIKAN DOKTER,50.95,13,0,3.22,31861001,"SMA St. Maria, Surabaya"
471,2.09E+12,71,PENDIDIKAN DOKTER,51,13,0,3.35,31862001,"SMA Kolose St. Yusuf, Malang"
472,2.09E+12,71,PENDIDIKAN DOKTER,51.15,13,0,3.38,22520003,SMA KRISTEN SUNODIA
473,2.09E+12,71,PENDIDIKAN DOKTER,51.3,13,0,3.46,31415002,"SMA Xaverius, Jambi"
474,2.09E+12,71,PENDIDIKAN DOKTER,51.3,13,0,3.46,31418001,"SMA Xaverius, Tanjung Karang"
475,2.09E+12,71,PENDIDIKAN DOKTER,51.4,13,0,3.4,31744233,"SMAK 1 BPK Penabur, Tanjung Duren"
476,2.09E+12,71,PENDIDIKAN DOKTER,51.4,13,0,3.31,31840005,"SMA St. Laurensia , Tangerang"
477,2.09E+12,71,PENDIDIKAN DOKTER,51.4,13,0,3.54,31840006,"SMAK Penabur Gading Serpong, Tangerang"
478,2.09E+12,71,PENDIDIKAN DOKTER,52,13,0,3.23,220002,"SMA Islam Al-Izhar, Pondok Labu"
479,3.28E+11,11,MANAJEMEN,52.05,13,0,3.68,23220002,"SMA MIS, Manado"
480,2.09E+12,71,PENDIDIKAN DOKTER,52.2,13,0,3.46,31861004,"SMA St. Louis 1, Surabaya"
481,1.47E+13,501,ILMU KEPERAWATAN,52.25,13,0,3.07,31840009,"SMAN 1, Tangerang"
482,2.09E+12,71,PENDIDIKAN DOKTER,52.3,13,0,3.7,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
483,1.47E+13,501,ILMU KEPERAWATAN,52.55,13,0,3.19,33310017,"SMA Negeri 8, Tangerang"
484,2.09E+12,71,PENDIDIKAN DOKTER,52.7,13,0,3.48,33320019,"SMA Global Jaya, Tangerang"
485,2.09E+12,71,PENDIDIKAN DOKTER,52.9,13,0,3.34,33320066,"UPH College, Karawaci"
486,3.29E+12,112,MATEMATIKA,53.15,13,0,3.47,31841008,"SMAN 2, Bogor"
487,2.09E+12,71,PENDIDIKAN DOKTER,53.2,13,0,3.62,31876002,"SMA Don Bosco, Manado"
488,1.47E+13,501,ILMU KEPERAWATAN,53.25,13,0,3.08,31840009,"SMAN 1, Tangerang"
489,2.09E+12,71,PENDIDIKAN DOKTER,53.5,13,0,3.26,31877002,"SMA Rajawali, Ujung Pandang"
490,3.28E+11,11,MANAJEMEN,53.75,13,0,3.88,31871002,"SMAN 1, Bali"
491,2.09E+12,71,PENDIDIKAN DOKTER,53.8,13,0,3.3,31876003,"SMA Eben Haezer, Manado"
492,1.50E+12,51,ILMU HUKUM,53.9,13,0,3.73,220026,"Singapore International School, Lebak Bulus"
493,2.09E+12,71,PENDIDIKAN DOKTER,53.9,13,0,3.5,31413001,"SMA St. Maria, Riau"
494,2.09E+12,71,PENDIDIKAN DOKTER,54,13,0,3.61,31413001,"SMA St. Maria, Riau"
495,2.09E+12,71,PENDIDIKAN DOKTER,54.05,13,0,3.34,31416001,"SMA Xaverius 1, Palembang"
496,2.09E+12,71,PENDIDIKAN DOKTER,54.15,13,0,3.75,31416001,"SMA Xaverius 1, Palembang"
497,2.09E+12,71,PENDIDIKAN DOKTER,54.7,13,0,3.36,31416001,"SMA Xaverius 1, Palembang"
498,2.09E+12,71,PENDIDIKAN DOKTER,55.2,13,0,3.7,31877002,"SMA Rajawali, Ujung Pandang"
499,2.09E+12,71,PENDIDIKAN DOKTER,55.6,13,0,3.54,31871002,"SMAN 1, Bali"
500,2.09E+12,71,PENDIDIKAN DOKTER,57.2,13,0,3.23,27910002,"SMAN 4, Denpasar"
501,1.47E+13,501,ILMU KEPERAWATAN,59.14,13,0,3.04,33310014,"SMK Negeri 1, Tangerang"
508,9.73E+11,33,TEKNIK INDUSTRI,34.35,14,0,3.33,620016,"SMU Tunas Gading, jakarta utara"
509,1.27E+12,43,HUBUNGAN INTERNASIONAL,37.8,14,0,2.67,31710022,"SMAN 3, Setiabudi"
510,3.55E+12,121,PSIKOLOGI,38,14,0,3.34,520020,"IPEKA Internasional, Christian School"
511,6.80E+11,23,DESAIN KOMUNIKASI VISUAL,39.4,14,0,3.33,31753841,"SMA Chandra Kusuma, Kapuk Muara"
512,2.09E+12,71,PENDIDIKAN DOKTER,40.15,14,0,3.12,33320007,"SMA Islam Al-Azhar, BSD Serpong"
513,3.28E+11,11,MANAJEMEN,40.5,14,0,2.98,1320009,"SMA IIBS Republic of Indonesia, Cikarang"
514,1.00E+12,34,TEKNOLOGI PANGAN,40.55,14,0,3.79,33320066,"UPH College, Karawaci"
515,2.09E+12,71,PENDIDIKAN DOKTER,40.85,14,0,3.38,31714655,"SMA Don Bosco Seruni, Pondok Indah"
516,1.21E+12,41,ILMU KOMUNIKASI,41.95,14,0,2.27,620013,"SMA Mawar Saron, Jakarta Utara"
517,2.09E+12,71,PENDIDIKAN DOKTER,42.8,14,0,3.42,520008,"SMA Santo Andreas, Kedoya"
518,2.09E+12,71,PENDIDIKAN DOKTER,43.1,14,0,3.23,31753787,"SMA Jubele, Sunter Agung"
519,1.27E+12,43,HUBUNGAN INTERNASIONAL,43.3,14,0,3.25,31733847,"SMAK 2 BPK Penabur, Pasar Baru"
520,2.09E+12,71,PENDIDIKAN DOKTER,43.65,14,0,3.55,520020,"IPEKA Internasional, Christian School"
521,3.28E+11,11,MANAJEMEN,44.2,14,0,3.42,31840005,"SMA St. Laurensia , Tangerang"
522,2.09E+12,71,PENDIDIKAN DOKTER,44.7,14,0,3.21,33320007,"SMA Islam Al-Azhar, BSD Serpong"
523,2.09E+12,71,PENDIDIKAN DOKTER,44.85,14,0,3.42,31853002,"SMA YSKI, Semarang"
524,2.09E+12,71,PENDIDIKAN DOKTER,44.95,14,0,3.19,720006,"SMA Trimulia, Bandung"
525,2.09E+12,71,PENDIDIKAN DOKTER,45.1,14,0,3.21,220001,"SMA Binus High School, Simpruk"
526,2.09E+12,71,PENDIDIKAN DOKTER,45.2,14,0,3.25,31862001,"SMA Kolose St. Yusuf, Malang"
527,2.09E+12,71,PENDIDIKAN DOKTER,45.7,14,0,3.17,31840008,"SMA Dian Harapan, Tangerang"
528,3.28E+11,11,MANAJEMEN,45.7,14,0,3.42,31845002,"SMAK 1 BPK Penabur, Sukabumi"
529,2.09E+12,71,PENDIDIKAN DOKTER,46.2,14,0,3.19,31734675,"SMA St. Theresia, H. Agus Salim"
530,2.09E+12,71,PENDIDIKAN DOKTER,46.2,14,0,3.23,31844001,"SMA St. Maria 1, Cirebon"
531,1.59E+13,541,MANAJEMEN PERHOTELAN (D4),46.2,14,0,3.33,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
532,2.09E+12,71,PENDIDIKAN DOKTER,46.35,14,0,3.46,16220001,"SMA Yos Sudarso, Batam"
533,2.09E+12,71,PENDIDIKAN DOKTER,46.4,14,0,3.52,31723831,"SMA St. Antonius, Balimester"
534,1.27E+12,43,HUBUNGAN INTERNASIONAL,46.6,14,0,3.58,31740133,"SMAN 65, Kebon Jeruk"
535,3.57E+11,12,AKUNTANSI,46.6,14,0,3.43,31744985,"SMA Ipeka Green Ville, Tomang"
536,2.09E+12,71,PENDIDIKAN DOKTER,46.6,14,0,3.47,31853006,"SMA Karang Turi, Semarang"
537,1.59E+13,541,MANAJEMEN PERHOTELAN (D4),46.65,14,0,3.55,1320001,"SMA Dian Harapan, Cikarang"
538,2.09E+12,71,PENDIDIKAN DOKTER,46.65,14,0,3.32,31743859,"SMA Tarsisius 2, Kebon Jeruk"
539,2.09E+12,71,PENDIDIKAN DOKTER,46.65,14,0,3.36,31872003,"SMA St. Petrus, Pontianak"
540,2.09E+12,71,PENDIDIKAN DOKTER,46.95,14,0,3.21,31861004,"SMA St. Louis 1, Surabaya"
541,1.59E+13,541,MANAJEMEN PERHOTELAN (D4),47,14,0,2.51,33320068,"SMA Taruna Mandiri, Tangerang"
542,3.57E+11,12,AKUNTANSI,47.1,14,0,3.61,520024,"SMA Kristen Kasih Karunia, Jakarta Barat"
543,3.28E+11,11,MANAJEMEN,47.5,14,0,3.25,620029,"SMA Mahatma Gading, Jak-Ut"
544,2.09E+12,71,PENDIDIKAN DOKTER,47.55,14,0,3.37,31862001,"SMA Kolose St. Yusuf, Malang"
545,2.09E+12,71,PENDIDIKAN DOKTER,47.65,14,0,3.37,31840005,"SMA St. Laurensia , Tangerang"
546,2.09E+12,71,PENDIDIKAN DOKTER,47.75,14,0,3.2,31734345,"SMA Perg. Advent 1, Kramat Pulo"
547,2.09E+12,71,PENDIDIKAN DOKTER,47.8,14,0,3.47,520017,"SMA Dian Harapan, Daan Mogot, Jakarta Barat"
